character,pinyin_hanziDB,pinyin_qxk,meaning,pinyin_hanziDB_qxk,pinyin_name,pinyin_givenname,pinyin_familyname,pinyin,tone,tone_name,tone_familyname,tone_givenname,pinyin_notone,eng,eng_name,eng_familyname,eng_givenname
一,yī,yī,yī	1:数目字，最小的正整数。2:相同。～样|～起|～致|统～|说法不～。3:全；满。～生|～身|～世|～冬|～路平安。4:专一；纯。～心～意|～色的大瓦房。5:另一个；另一种。莲花～名荷花。6:用在重叠的单音动词中间，表示动作是短暂的或尝试性的。看～看|走～走|试～试|想～想。7:表示动作或情况一下子发生。两眼～瞪|面目～新|不由得～愣。8:表示发生了某种情况，继而产生了相应的结果。～见钟情|～闪而过|～扫而光。9:跟“就”配合，表示两件事紧接着。你～说我就明白了|～考试他就紧张。10:中国民族音乐音阶的一级，乐谱上用作记音符号，相当于简谱的“7”。,yī,yī,yī,yī,yī,1,1,1,1,yi,yi,yi,yi,yi
乙,yǐ,yǐ,yǐ	1:天干的第二位，常用作顺序的第二。2:中国民族音乐音阶的一级，乐谱上用作记音符号，相当于简谱的“7”。,yǐ,yǐ,yǐ,yǐ,yǐ,3,3,3,3,yi,yi,yi,yi,yi
二,èr,èr,èr	1:数目字。最小的大于一的整数。2:两样；不同。言不～价|绝无～话|毫无～致|心无～用。,èr,èr,èr,èr,èr,4,4,4,4,er,er,er,er,er
十,shí,shí,shí	1:数目字，最小的大于九的整数。2:表示完备、齐全、达到顶点。～分｜～足｜～全～美。,shí,shí,shí,shí,shí,2,2,2,2,shi,shi,shi,shi,shi
丁,dīng,dīng#zhēng,dīng	1:天干的第四位，常用作顺序的第四。2:成年男子。成～|壮～。3:人口。～口|人～|添～。4:从事某种职业的人。园～。5:蔬菜、肉类等切成的小块。鸡～|黄瓜～|炒三～。6:（Dīng）姓。,dīng#zhēng,dīng#zhēng,dīng#zhēng,dīng,dīng#zhēng,1#1,1#1,1,1#1,ding#zheng,ding#zheng,ding#zheng,ding,ding#zheng
厂,chǎng,chǎng#ān#hàn,chǎng	[廠]	1:工厂。～房｜服装～｜钢铁～｜～商｜～矿企业。2:有空地、可以存放货物并进行加工的场所。煤～｜木材～。,chǎng#ān#hàn,chǎng#ān#hàn,chǎng#ān#hàn,chǎng#ān#hàn,chǎng#ān#hàn,3#1#4,3#1#4,3#1#4,3#1#4,chang#an#han,chang#an#han,chang#an#han,chang#an#han,chang#an#han
七,qī,qī,qī	1:数目字最小的大于六的整数。2:旧时人死后，每隔七天祭一次，直到四十九天为止，共分七个“七”。,qī,qī,qī,qī,qī,1,1,1,1,qi,qi,qi,qi,qi
卜,bo,bǔ#bo,1bo	[蔔]	【萝（luò）卜】 见“萝”。#####2bǔ	1:占卜，预测吉凶。～卦|～辞|～筮|求签问～。2:推测；预料。预～|生死未～|成败可～。3:（Bǔ）姓。,bǔ#bo,bǔ,bǔ,bǔ,bǔ#bo,3#0,3,3,3,bu#bo,bu#bo,bu,bu,bu
八,bā,bā,bā	1:数目字。最小的大于七的整数。2:泛指多数。～面玲珑|一方有难，～方支援。,bā,bā,bā,bā,bā,1,1,1,1,ba,ba,ba,ba,ba
人,rén,rén,rén	1:由类人猿进化而来，能制造工具并使用工具进行劳动，能用语言进行思维和交际的高等动物。～类|～种（zhǒng）|男～|古～。2:指某种人。工～|军～|商～|客～|媒～|继承～。3:每个人；一般人。～所共知|～同此心|～手一册。4:人的品质、性格或声誉。～好|丢～。5:别人；他人。～云亦云|助～为乐|先～后己。6:人手；人才。缺～|招～|进新～|～浮于事。,rén,rén,rén,rén,rén,2,2,2,2,ren,ren,ren,ren,ren
入,rù,rù,rù	1:进（跟“出”相对）。～口|～院|～夏|～住|进～|深～浅出|乘虚而～。2:参加。～学|～党|～会|～伍|～伙|加～。3:合乎。～时|～情～理。4:收入。月～|～不敷出|量～为出。5:入声，汉语声调的一种，入声字一般发音比较短促，普通话没有入声，许多方言有入声。,rù,rù,rù,rù,rù,4,4,4,4,ru,ru,ru,ru,ru
儿,ér,ér,ér	[兒]	1:小孩子。～童|～歌|～时|～科|婴～|幼～|少～。2:儿子；男孩子。～女|～孙|～媳|生～育女。3:青年人（多指青年男子）。男～|健～|好～郎|弄潮～。4:后缀（注音作r）。 附着在某些成分后面，起儿化作用，构成名词和少数动词。盆～|火～|亮～|破烂～。,ér,ér,ér,ér,ér,2,2,2,2,er,er,er,er,er
匕,bǐ,bǐ,bǐ	匕首，短剑或狭长的短刀。图穷～见（xiàn）。,bǐ,bǐ,bǐ,bǐ,bǐ,3,3,3,3,bi,bi,bi,bi,bi
几,jǐ,jī#jǐ,1jī	1:矮小的桌子。～案|茶～|窗明～净。2:（Jī）姓。#####2jī	[幾]	几乎；接近于。～近|～遭不测。#####3jǐ	[幾]	1:询问数目或时间。来了～个人？|他～时到？2:表示大概的数目（限于二至九）。买了～本书|花了～百圆。3:表示或多或少不确定的数目。～经|～度|～次三番|所剩无～。,jī#jǐ,jī#jǐ,jī#jǐ,jī,jī#jǐ,1#3,1#3,1,1#3,ji#ji,ji,ji,ji,ji
九,jiǔ,jiǔ,jiǔ	1:数目字。最小的大于八的整数。2:表示多数或多次。～霄|～泉|十拿～稳|～死一生。3:从冬至那天起，每九天为一个“九”，共八十一天，分九个“九”。数～|进～|春打六～头|冷在三～，热在三伏。,jiǔ,jiǔ,jiǔ,jiǔ,jiǔ,3,3,3,3,jiu,jiu,jiu,jiu,jiu
刁,diāo,diāo,diāo	1:奸诈；狡猾。～滑|～钻|～民|～蛮|～横|放～。2:（Diāo）姓。,diāo,diāo,diāo,diāo,diāo,1,1,1,1,diao,diao,diao,diao,diao
了,le,liǎo#le,1le	1:助词。 表示动作或变化已经完成。玩～一整天|几年不见，他胖～许多。2:助词。 表示确定的语气。天亮～|我明白～。3:助词。 表示催促或劝阻的语气。快走吧，要迟到～|不要再说～。4:助词。 表示感叹的语气。太好～！#####2liǎo	1:完毕；结束。～结|～却|终～|末～|不～～之。2:副词。 完全（用于否定词前）。～无惧色|～不相涉。3:（Liǎo）姓。#####3liǎo	[瞭]	明白；懂得。～解|明～|～如指掌|一目～然。,liǎo#le,liǎo,liǎo,liǎo,liǎo#le,3#0,3,3,3,liao#le,liao#le,liao,liao,liao
刀,dāo,dāo,dāo	1:古代兵器，泛指用来切、割、削、砍、铡等的工具。～枪剑戟|～刃|剪～|菜～|镰～。2:形状像刀的东西。冰～|瓦～。3:量词。 用于纸张，1刀为100张。三～草纸。4:（Ｄāｏ）姓。,dāo,dāo,dāo,dāo,dāo,1,1,1,1,dao,dao,dao,dao,dao
力,lì,lì,lì 	1:肌肉的效能；力气；力量。体～|臂～|权～|威～|身强～壮。2:身体器官或其他事物的效能。能～|脑～|智～|视～|药～|说服～|～所能及。3:努力；尽力。～作|～求|～图|～争|工作不～|～挽狂澜。4:物理学上指改变物体形态或运动状态的作用。,lì,lì,lì,lì,lì,4,4,4,4,li,li,li,li,li
乃,nǎi,nǎi,nǎi	1:副词。 是；为（wéi）。失败～成功之母|此～警世名言也。2:连词。 于是。越过长岭，～稍事休整。3:副词。 才。放纵既久，祸～至此。,nǎi,nǎi,nǎi,nǎi,nǎi,3,3,3,3,nai,nai,nai,nai,nai
