surname,n,ppm
王,88465683,74861.812
李,87096536,73703.206
张,83109353,70329.155
刘,62697223,53055.914
陈,53825412,45548.372
杨,39810444,33688.565
黄,27750712,23483.327
赵,24949775,21113.106
吴,23622133,19989.623
周,23192918,19626.411
徐,17693186,14972.404
孙,17199753,14554.849
朱,15611100,13210.492
马,15453832,13077.408
胡,14222377,12035.321
郭,13589708,11499.941
何,12688078,10736.96
高,12324042,10428.904
罗,11654386,9862.225
林,11609565,9824.296
郑,10775751,9118.702
梁,9913819,8389.315
谢,8824357,7467.385
宋,8648852,7318.869
唐,8448817,7149.594
韩,7593398,6425.718
许,7566528,6402.98
冯,7491551,6339.533
邓,7373938,6240.006
曹,7324974,6198.571
彭,6971754,5899.668
曾,6679993,5652.772
肖,6443757,5452.864
田,6414971,5428.504
董,6305008,5335.451
袁,6153789,5207.486
于,6078073,5143.413
潘,6044909,5115.349
蒋,5828878,4932.538
杜,5737478,4855.193
蔡,5732828,4851.258
余,5680166,4806.695
程,5550466,4696.939
魏,5482896,4639.76
叶,5447071,4609.444
吕,5340320,4519.109
丁,5333666,4513.478
苏,5311060,4494.348
任,5122226,4334.552
沈,5012587,4241.773
姚,4933886,4175.174
姜,4896622,4143.641
卢,4807058,4067.849
崔,4757700,4026.081
钟,4662008,3945.105
谭,4487036,3797.039
汪,4471582,3783.961
范,4442236,3759.128
陆,4388531,3713.682
金,4357157,3687.132
石,4182566,3539.389
廖,4115605,3482.725
贾,4094102,3464.529
夏,3938636,3332.97
付,3870648,3275.436
方,3743442,3167.792
韦,3698991,3130.176
邹,3616673,3060.517
白,3588151,3036.381
熊,3563766,3015.745
孟,3539522,2995.23
秦,3522862,2981.131
邱,3253603,2753.278
尹,3197544,2705.839
江,3179283,2690.387
薛,3146574,2662.707
闫,3077383,2604.156
侯,3052713,2583.28
段,2976554,2518.832
雷,2917435,2468.804
史,2632424,2227.621
龙,2630494,2225.988
陶,2601340,2201.317
顾,2546885,2155.236
贺,2538904,2148.482
黎,2503290,2118.345
郝,2475437,2094.775
毛,2459298,2081.118
邵,2434040,2059.744
龚,2432556,2058.488
万,2370139,2005.669
钱,2284315,1933.043
武,2241008,1896.395
严,2240852,1896.263
戴,2204299,1865.331
孔,2128308,1801.026
向,2110622,1786.06
覃,2069008,1750.845
常,2056982,1740.668
汤,2051959,1736.418
莫,1987618,1681.971
康,1935510,1637.876
文,1900068,1607.884
温,1895056,1603.642
牛,1882989,1593.431
代,1882061,1592.646
赖,1873769,1585.629
洪,1831469,1549.834
葛,1801833,1524.755
施,1797063,1520.718
邢,1768313,1496.389
安,1731244,1465.021
樊,1667391,1410.987
齐,1641237,1388.855
乔,1609039,1361.608
易,1597113,1351.516
庞,1546822,1308.958
倪,1496219,1266.137
伍,1495816,1265.796
鲁,1480591,1252.912
聂,1469755,1243.742
章,1416159,1198.388
岳,1397065,1182.23
颜,1391776,1177.755
殷,1373141,1161.985
翟,1364926,1155.034
申,1358397,1149.509
耿,1287565,1089.569
欧,1266711,1071.922
庄,1243137,1051.973
左,1238445,1048.002
焦,1236969,1046.753
兰,1236741,1046.56
关,1220178,1032.544
俞,1194289,1010.636
柳,1183330,1001.363
甘,1133387,959.1
祝,1110217,939.493
傅,1087273,920.077
包,1029143,870.886
尚,1020275,863.382
毕,1008870,853.73
舒,994709,841.747
宁,985763,834.177
曲,965839,817.316
梅,964564,816.238
童,947726,801.989
阮,944949,799.639
纪,942503,797.569
季,941840,797.008
苗,933769,790.178
单,933513,789.961
裴,931716,788.441
符,922896,780.977
谷,922046,780.258
凌,921671,779.94
成,911776,771.567
霍,911366,771.22
盛,908725,768.985
詹,897364,759.371
冉,895761,758.015
路,883203,747.388
骆,864033,731.166
辛,853499,722.252
靳,853059,721.879
柯,850517,719.728
涂,845458,715.447
蓝,817719,691.974
欧阳,807920,683.682
柴,800687,677.561
管,798948,676.089
翁,788294,667.074
祁,766364,648.516
鲍,762815,645.513
喻,749112,633.917
游,732358,619.739
蒙,725825,614.211
华,710952,601.625
蒲,703452,595.278
房,682001,577.126
滕,681689,576.862
屈,675945,572.001
饶,662075,560.264
解,658478,557.22
艾,655453,554.66
牟,653751,553.22
候,631747,534.6
时,619815,524.503
尤,604591,511.62
阳,600244,507.941
穆,596067,504.406
司,552929,467.902
吉,539077,456.18
车,534322,452.156
项,526161,445.25
缪,522392,442.061
芦,518415,438.695
农,518361,438.65
卓,502120,424.906
窦,500024,423.132
褚,497866,421.306
娄,493754,417.827
古,492537,416.797
景,486382,411.588
宫,485687,411
戚,479798,406.017
连,479014,405.353
费,477484,404.059
党,476999,403.648
冷,466976,395.166
卜,465642,394.038
晏,465124,393.599
米,446599,377.923
席,446314,377.682
柏,441781,373.846
卫,436878,369.697
宗,431949,365.526
岑,423622,358.479
佟,418337,354.007
边,416883,352.777
瞿,412001,348.645
麦,411592,348.299
桂,403946,341.829
沙,402618,340.705
臧,401545,339.797
全,397488,336.364
闵,395025,334.28
普,392649,332.269
姬,392482,332.128
和,390664,330.589
师,390242,330.232
苟,389836,329.889
邬,389561,329.656
卞,389078,329.247
应,388751,328.971
桑,381166,322.552
隋,380782,322.227
栾,376813,318.868
仇,372070,314.855
商,368428,311.773
刁,366399,310.056
简,364302,308.281
荣,357295,302.352
寇,356799,301.932
郎,347120,293.741
丛,325974,275.847
仲,324758,274.818
明,323668,273.896
查,320050,270.834
巫,319720,270.555
占,319409,270.292
甄,318189,269.259
巩,314035,265.744
虞,313997,265.712
丘,308776,261.294
佘,308737,261.261
苑,305195,258.263
迟,303625,256.935
麻,300125,253.973
池,297968,252.148
阎,295871,250.373
敖,292788,247.764
封,287748,243.499
鞠,284208,240.504
谈,280529,237.39
惠,278774,235.905
匡,277727,235.019
官,272971,230.995
荆,268580,227.279
郁,266458,225.483
胥,265457,224.636
冀,263246,222.765
乐,261860,221.592
南,261127,220.972
邝,250548,212.02
栗,248863,210.594
储,246595,208.675
原,245668,207.89
燕,245591,207.825
班,245543,207.784
楚,244780,207.139
鄢,243235,205.831
谌,220230,186.364
劳,215372,182.253
皮,213732,180.865
蔺,212366,179.709
奚,212353,179.698
闻,204764,173.276
粟,204669,173.196
满,204358,172.933
楼,203702,172.378
盘,201284,170.331
海,193602,163.831
伊,189055,159.983
位,185901,157.314
阚,184551,156.172
冼,184410,156.052
强,183740,155.485
仝,183521,155.3
索,183199,155.027
郜,182392,154.345
巴,182272,154.243
花,181466,153.561
玉,179719,152.083
盖,177367,150.092
帅,176242,149.14
